CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT
1600031175|1|1604511300|7239975|599|SECURE|N|N|Y|N|29/08/2022
3200018767|1|3206609800|5617699|568|L+G|N|Y|Y|N|05/09/2016
6800015574|1|6811408304|4404278|585|SECURE|N|N|Y|N|07/04/2011
3100037314|1|3101001703|5232925|551|SECURE|N|N|Y|N|24/09/2015
1200078183|1|1227505101|5050146|568|L+G|N|N|N|N|28/09/2015
6300049783|1|6329001100|2167371|603|GEC(UK)|N|Y|N|N|27/10/1997
4900061949|1|4908700311|5096540|569|SECURE|Y|N|Y|N|19/12/2014
6300029400|1|6315600100|6814471|576|GENUS|N|N|N|N|14/06/2024
1200079530|1|1228911600|3929265|550|SECURE|N|N|N|N|04/01/2008
1200075860|1|1218811902|3679714|407|SCHLMBGR|N|N|N|N|09/01/2007
1200078429|1|1223100310|6717582|578|L&T|N|N|N|N|21/03/2024
1200078446|1|1223803005|4320265|590|L+G|N|Y|Y|N|18/08/2010
6800019663|1|6811507799|4722478|585|SECURE|N|N|N|N|09/11/2012
6300048126|1|6327807100|3133932|407|SCHLMBGR|N|N|N|N|11/04/2009
6300048126|1|6327807100|3133932|407|SCHLMBGR|N|N|N|N|11/04/2009
6800020119|1|6807805213|4713777|550|SECURE|N|N|Y|N|30/01/2013
1600031479|1|1604504001|4364346|585|SECURE|N|N|N|N|01/01/2011
6800016029|1|6810811104|4430292|590|L+G|Y|N|N|N|29/06/2011
7500057585|1|7513316102|6358441|574|L&T|N|N|N|N|18/07/2020
1200134010|1|1202409310|6296454|576|GENUS|N|N|N|N|04/03/2020
5000123289|1|5031714005|4369893|585|SECURE|N|N|Y|N|29/01/2011
5000123290|1|5031714006|4369892|585|SECURE|N|N|Y|N|29/01/2011
1400073598|1|1403111201|3488927|549|SECURE|Y|N|N|N|13/03/2010
1200134108|1|1204606856|6295156|576|GENUS|Y|N|Y|N|26/02/2020
5000060033|1|5036606600|7214883|599|SECURE|N|N|Y|N|22/04/2022
5000136483|1|5036603502|7269181|599|SECURE|N|N|N|N|08/03/2023
