CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT|JOB_ID
3900037471|1|3905742500|4203469|585|SECURE|Y|N|Y|N|08/03/2010|20250300270
3900041070|1|3904627100|2999078|401|VLG|N|N|Y|N|30/05/2001|20250300271
3900041470|1|3904628000|5415056|569|SECURE|N|N|Y|N|06/04/2016|20250300272
3900042495|1|3904630700|4734867|585|SECURE|N|N|Y|N|04/02/2013|20250300273
3900045314|1|3904629706|5099263|569|SECURE|N|N|Y|N|17/01/2015|20250300274
3900045649|1|3909209301|5116416|569|SECURE|Y|N|Y|N|08/04/2015|20250300275
3900046707|1|3904125002|3455961|421|L+G|Y|N|N|N|01/01/2005|20250300276
2500007697|1|2503014400|6085716|573|L+G|N|N|N|N|27/03/2019|20250300278
6600007717|1|6606301700|5447151|568|L+G|N|Y|N|N|28/03/2016|20250300279
2600019527|1|2607210401|2981402|401|VLG|Y|N|Y|N|14/02/2001|20250300280
900128659|1|0918905013|3782840|580|GENUS|N|N|N|N|17/05/2007|20250300281
7000016165|1|7013907008|6302937|576|GENUS|N|N|N|N|25/09/2020|20250300283
1200091306|1|1216211205|6338595|576|GENUS|N|N|N|N|19/02/2022|20250300284
3700012789|2|3704808700|3583098|550|SECURE|N|N|N|N|06/12/2005|20250300285
3700023805|1|3705020005|7305114|599|SECURE|N|N|Y|N|12/08/2023|20250300286
3700015024|1|3705633600|5427786|569|SECURE|N|N|Y|N|25/05/2016|20250300287
5100034709|1|5117200800|5234477|551|SECURE|N|N|Y|N|28/12/2015|20250300288
7600025300|1|7621505600|7163441|599|SECURE|N|N|Y|N|21/06/2021|20250300289
3200017889|1|3206311400|4601059|581|GENUS|N|Y|Y|N|14/03/2012|20250300290
6800015841|1|6811610501|4419316|590|L+G|N|Y|N|N|09/05/2011|20250300291
5500025560|1|5501418901|5784702|150|GENUS|Y|N|N|N|27/05/2019|20250300292
5000126637|1|5039409401|4531935|585|SECURE|N|N|N|N|23/09/2011|20250300294
5100096668|1|5117404144|7123289|599|SECURE|N|N|N|N|30/11/2019|20250300295
900077475|1|0924602402|3844965|582|GENUS|N|N|N|N|09/12/2011|20250300296
6400062536|1|6401108454|6127349|571|GENUS|N|N|N|N|30/06/2018|20250300297
4700007678|1|4703001200|2960904|401|VLG|N|N|N|N|26/09/2000|20250300299
3500039720|1|3504332100|5978171|568|L+G|N|N|N|N|19/05/2017|20250300300
6600024514|1|6610410207|4550592|585|SECURE|Y|N|N|N|13/01/2012|20250300301
3000008659|1|3003323600|2794248|402|ABB(UK)|N|N|N|N|05/02/2000|20250300302
3000016277|1|3001320701|6881158|577|L&T|N|N|Y|N|06/09/2024|20250300303
6000034639|1|6003710333|5021424|568|L+G|N|N|Y|N|16/07/2014|20250300304
5600060945|1|5609000601|3483741|423|ALSTOM|N|N|Y|N|14/10/2004|20250300305
900106981|1|0921202314|4936683|567|L+G|N|N|N|N|21/07/2014|20250300308
1200099839|1|1231211401|4690660|581|GENUS|N|Y|N|N|30/10/2012|20250300309
1000072209|1|1024305601|4149317|565|GENUS|Y|N|N|N|14/08/2009|20250300310
6200048919|1|6214405402|3955175|580|GENUS|N|N|N|N|17/06/2008|20250300311
4600145925|1|4646505000|4066382|581|GENUS|N|Y|N|N|23/07/2011|20250300312
1300218356|1|1342301717|6328006|573|L+G|N|N|N|N|11/11/2023|20250300313
2000028082|1|2001614846|7266028|599|SECURE|N|N|N|N|03/01/2023|20250300314
4500038655|1|4500712901|5296977|569|SECURE|Y|N|N|N|16/07/2015|20250300315
4500011683|1|4503912500|4606520|585|SECURE|Y|N|N|N|18/02/2012|20250300316
4500042950|1|4507702015|6207381|573|L+G|N|N|N|N|03/10/2018|20250300317
4500001723|1|4500639000|4708796|550|SECURE|Y|N|N|N|11/10/2012|20250300318
1100116711|1|1128808604|4367169|585|SECURE|Y|N|N|N|14/01/2011|20250300319
6100027348|1|6800200500|3040082|401|VLG|N|Y|Y|N|23/11/2001|20250300320
6100027322|1|6800114300|3127512|406|SCHLMBGR|N|Y|N|N|13/11/2002|20250300321
5000030496|1|5017524300|3054565|402|ABB(UK)|N|N|Y|N|10/11/2000|20250300360
5000033684|1|5023214900|4298088|585|SECURE|N|N|N|N|02/01/2012|20250300361
5000036715|1|5019411100|6742229|576|GENUS|N|N|Y|N|05/01/2024|20250300362
5000178446|1|5017622501|6199493|574|L&T|N|N|Y|N|23/03/2019|20250300363
5000033676|1|5023214000|2969662|401|VLG|N|N|Y|N|25/10/2000|20250300364
200032275|1|0214526900|3445087|421|L+G|N|N|N|N|04/11/2004|20250300365
200032281|1|0214527900|2522847|802|VLG|N|N|N|N|18/12/1997|20250300366
200032289|1|0214528700|2576874|802|VLG|N|N|N|N|18/08/1998|20250300367
200032335|1|0214518100|2576982|802|VLG|Y|N|N|N|18/08/1998|20250300368
200039326|1|0218726600|2416329|431|ABB(UK)|Y|N|N|N|10/07/2006|20250300369
200080341|1|0217805333|3720494|421|L+G|N|N|N|N|01/08/2006|20250300370
200088332|1|0214508600|4674675|585|SECURE|N|N|Y|N|07/09/2012|20250300371
200091644|1|0219503006|7210789|599|SECURE|N|N|N|N|18/02/2022|20250300372
200105479|1|0215607000|6853628|576|GENUS|Y|N|N|N|30/09/2024|20250300373
200116133|1|0219300103|4317183|550|SECURE|Y|N|Y|N|01/01/2011|20250300374
200121615|1|0215403100|7164597|599|SECURE|N|N|Y|N|29/06/2021|20250300375
200152105|1|0214518907|5567316|569|SECURE|N|N|N|N|02/08/2016|20250300376
200174002|1|0213013009|6726733|576|GENUS|N|N|N|N|09/12/2023|20250300377
200185040|1|0213008213|6096034|574|L&T|N|N|N|N|06/04/2018|20250300378
200201911|1|0219505608|6350602|574|L&T|N|N|N|N|29/02/2020|20250300379
200212491|1|0213001337|6460588|574|L&T|N|N|N|N|08/10/2021|20250300380
200213059|1|0214521910|6474045|574|L&T|N|N|N|N|05/11/2021|20250300381
200217010|1|0213010520|6491666|574|L&T|N|N|N|N|06/04/2022|20250300382
200220036|1|0219503010|7248430|599|SECURE|N|N|N|N|11/10/2022|20250300383
200229728|1|0213011525|6582689|576|GENUS|N|N|N|N|31/01/2023|20250300384
900079396|1|0912412800|3933046|550|SECURE|N|N|Y|N|28/03/2008|20250300388
900090819|1|0911806206|4367281|585|SECURE|N|N|N|N|19/01/2011|20250300389
900091726|1|0915023400|4374040|585|SECURE|Y|N|N|N|24/02/2011|20250300390
900095802|1|0915239700|6985305|578|L&T|N|N|N|N|16/11/2024|20250300391
3800001312|1|3800516800|3745623|421|L+G|N|N|Y|N|08/12/2006|20250300392
